oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,city_st,pop,pop_rescaled,geometry,lon,lat
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2019-11-27,Fall,2019,4.75,"Charleston, SC",120083,1.43871661402552,"c(-79.9597, 32.7869)",-79.9597,32.7869
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-07-21,Summer,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.8571, 32.757)",-79.8571,32.757
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-03-01,Spring,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9051, 32.8021)",-79.9051,32.8021
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-09-25,Fall,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9044, 32.7509)",-79.9044,32.7509
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-02-14,Winter,2020,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9252, 32.776)",-79.9252,32.77600000000001
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-02-27,Winter,2020,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9252, 32.7759)",-79.9252,32.7759
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-09-06,Fall,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.902, 32.7508)",-79.902,32.7508
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2019-09-18,Fall,2019,4.75,"Charleston, SC",120083,1.43871661402552,"c(-79.9619, 32.7884)",-79.96190000000001,32.7884
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-12-07,Winter,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.8568, 32.7565)",-79.8568,32.75650000000001
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-10-04,Fall,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.834, 32.7583)",-79.834,32.758300000000006
